Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:11 PM  all    8.68    0.00   14.67    0.00    0.62   72.78    0.00    0.00    0.00    3.25
04:18:11 PM    0    2.02    0.00   15.15    0.00    0.00   79.80    0.00    0.00    0.00    3.03
04:18:11 PM    1    4.00    0.00   15.00    0.00    1.00   78.00    0.00    0.00    0.00    2.00
04:18:11 PM    2    2.02    0.00   16.16    0.00    1.01   79.80    0.00    0.00    0.00    1.01
04:18:11 PM    3    1.98    0.00   14.85    0.00    0.00   81.19    0.00    0.00    0.00    1.98
04:18:11 PM    4    4.04    0.00   14.14    0.00    0.00   78.79    0.00    0.00    0.00    3.03
04:18:11 PM    5    2.97    0.00   15.84    0.00    0.99   76.24    0.00    0.00    0.00    3.96
04:18:11 PM    6    6.00    0.00   15.00    0.00    1.00   73.00    0.00    0.00    0.00    5.00
04:18:11 PM    7    2.02    0.00   15.15    0.00    0.00   77.78    0.00    0.00    0.00    5.05
04:18:11 PM    8    0.99    0.00   15.84    0.00    0.99   77.23    0.00    0.00    0.00    4.95
04:18:11 PM    9    3.92    0.00   14.71    0.00    0.98   77.45    0.00    0.00    0.00    2.94
04:18:11 PM   10   27.27    0.00   14.14    0.00    0.00   56.57    0.00    0.00    0.00    2.02
04:18:11 PM   11   67.33    0.00    7.92    0.00    0.99   20.79    0.00    0.00    0.00    2.97
04:18:11 PM   12    3.00    0.00   16.00    0.00    1.00   76.00    0.00    0.00    0.00    4.00
04:18:11 PM   13    0.98    0.00   15.69    0.00    0.98   78.43    0.00    0.00    0.00    3.92
04:18:11 PM   14    9.00    0.00   14.00    0.00    1.00   72.00    0.00    0.00    0.00    4.00
04:18:11 PM   15    1.01    0.00   15.15    0.00    0.00   81.82    0.00    0.00    0.00    2.02

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    8.68    0.00   14.67    0.00    0.62   72.78    0.00    0.00    0.00    3.25
Average:       0    2.02    0.00   15.15    0.00    0.00   79.80    0.00    0.00    0.00    3.03
Average:       1    4.00    0.00   15.00    0.00    1.00   78.00    0.00    0.00    0.00    2.00
Average:       2    2.02    0.00   16.16    0.00    1.01   79.80    0.00    0.00    0.00    1.01
Average:       3    1.98    0.00   14.85    0.00    0.00   81.19    0.00    0.00    0.00    1.98
Average:       4    4.04    0.00   14.14    0.00    0.00   78.79    0.00    0.00    0.00    3.03
Average:       5    2.97    0.00   15.84    0.00    0.99   76.24    0.00    0.00    0.00    3.96
Average:       6    6.00    0.00   15.00    0.00    1.00   73.00    0.00    0.00    0.00    5.00
Average:       7    2.02    0.00   15.15    0.00    0.00   77.78    0.00    0.00    0.00    5.05
Average:       8    0.99    0.00   15.84    0.00    0.99   77.23    0.00    0.00    0.00    4.95
Average:       9    3.92    0.00   14.71    0.00    0.98   77.45    0.00    0.00    0.00    2.94
Average:      10   27.27    0.00   14.14    0.00    0.00   56.57    0.00    0.00    0.00    2.02
Average:      11   67.33    0.00    7.92    0.00    0.99   20.79    0.00    0.00    0.00    2.97
Average:      12    3.00    0.00   16.00    0.00    1.00   76.00    0.00    0.00    0.00    4.00
Average:      13    0.98    0.00   15.69    0.00    0.98   78.43    0.00    0.00    0.00    3.92
Average:      14    9.00    0.00   14.00    0.00    1.00   72.00    0.00    0.00    0.00    4.00
Average:      15    1.01    0.00   15.15    0.00    0.00   81.82    0.00    0.00    0.00    2.02
