Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:12 PM  all   10.14    0.06   17.52    0.06    0.25   68.90    0.00    0.00    0.00    3.07
04:18:12 PM    0    4.00    0.00   16.00    0.00    0.00   76.00    0.00    0.00    0.00    4.00
04:18:12 PM    1    4.00    0.00   16.00    0.00    0.00   77.00    0.00    0.00    0.00    3.00
04:18:12 PM    2    4.00    0.00   16.00    1.00    0.00   75.00    0.00    0.00    0.00    4.00
04:18:12 PM    3   36.00    0.00   12.00    0.00    1.00   49.00    0.00    0.00    0.00    2.00
04:18:12 PM    4    2.97    0.99   14.85    0.00    0.99   77.23    0.00    0.00    0.00    2.97
04:18:12 PM    5    1.00    0.00   15.00    0.00    0.00   80.00    0.00    0.00    0.00    4.00
04:18:12 PM    6   24.00    0.00   13.00    0.00    0.00   61.00    0.00    0.00    0.00    2.00
04:18:12 PM    7    3.03    0.00   15.15    0.00    0.00   78.79    0.00    0.00    0.00    3.03
04:18:12 PM    8   10.00    0.00   33.00    0.00    0.00   55.00    0.00    0.00    0.00    2.00
04:18:12 PM    9    1.98    0.00   14.85    0.00    0.00   78.22    0.00    0.00    0.00    4.95
04:18:12 PM   10   10.00    0.00   21.00    0.00    1.00   64.00    0.00    0.00    0.00    4.00
04:18:12 PM   11   17.17    0.00   31.31    0.00    0.00   48.48    0.00    0.00    0.00    3.03
04:18:12 PM   12   14.00    0.00   15.00    0.00    0.00   67.00    0.00    0.00    0.00    4.00
04:18:12 PM   13   12.12    0.00   15.15    0.00    0.00   70.71    0.00    0.00    0.00    2.02
04:18:12 PM   14   17.17    0.00   16.16    0.00    0.00   65.66    0.00    0.00    0.00    1.01
04:18:12 PM   15    1.00    0.00   16.00    0.00    1.00   79.00    0.00    0.00    0.00    3.00

04:18:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:13 PM  all   14.17    1.00   15.79    0.00    0.87   65.11    0.00    0.00    0.00    3.06
04:18:13 PM    0    6.00    0.00   14.00    0.00    1.00   72.00    0.00    0.00    0.00    7.00
04:18:13 PM    1   15.15    0.00   18.18    0.00    1.01   61.62    0.00    0.00    0.00    4.04
04:18:13 PM    2   12.87    4.95   18.81    0.00    0.99   59.41    0.00    0.00    0.00    2.97
04:18:13 PM    3    9.00    4.00   14.00    0.00    0.00   69.00    0.00    0.00    0.00    4.00
04:18:13 PM    4    5.00    0.00   16.00    0.00    1.00   76.00    0.00    0.00    0.00    2.00
04:18:13 PM    5   40.00    1.00   10.00    0.00    1.00   47.00    0.00    0.00    0.00    1.00
04:18:13 PM    6    7.00    0.00   18.00    0.00    1.00   71.00    0.00    0.00    0.00    3.00
04:18:13 PM    7    9.90    0.00   16.83    0.00    0.99   70.30    0.00    0.00    0.00    1.98
04:18:13 PM    8    4.00    0.00   14.00    0.00    1.00   78.00    0.00    0.00    0.00    3.00
04:18:13 PM    9   15.15    1.01   19.19    0.00    1.01   60.61    0.00    0.00    0.00    3.03
04:18:13 PM   10   28.00    1.00   13.00    0.00    0.00   55.00    0.00    0.00    0.00    3.00
04:18:13 PM   11   24.75    0.00   24.75    0.00    0.99   46.53    0.00    0.00    0.00    2.97
04:18:13 PM   12   17.00    2.00   14.00    0.00    1.00   63.00    0.00    0.00    0.00    3.00
04:18:13 PM   13   10.89    1.98   12.87    0.00    0.99   69.31    0.00    0.00    0.00    3.96
04:18:13 PM   14   15.00    0.00   15.00    0.00    1.00   68.00    0.00    0.00    0.00    1.00
04:18:13 PM   15    7.00    0.00   14.00    0.00    1.00   75.00    0.00    0.00    0.00    3.00

04:18:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:14 PM  all    8.26    0.81   14.39    0.00    0.19   72.65    0.00    0.00    0.00    3.69
04:18:14 PM    0    4.00    3.00   15.00    0.00    0.00   75.00    0.00    0.00    0.00    3.00
04:18:14 PM    1    1.00    0.00   15.00    0.00    0.00   78.00    0.00    0.00    0.00    6.00
04:18:14 PM    2    1.01    0.00   15.15    0.00    0.00   78.79    0.00    0.00    0.00    5.05
04:18:14 PM    3    5.00    0.00   16.00    0.00    1.00   73.00    0.00    0.00    0.00    5.00
04:18:14 PM    4    3.00    0.00   15.00    0.00    0.00   80.00    0.00    0.00    0.00    2.00
04:18:14 PM    5    1.98    0.00   15.84    0.00    0.00   79.21    0.00    0.00    0.00    2.97
04:18:14 PM    6    4.04    0.00   16.16    0.00    0.00   77.78    0.00    0.00    0.00    2.02
04:18:14 PM    7   13.00    0.00   13.00    0.00    0.00   69.00    0.00    0.00    0.00    5.00
04:18:14 PM    8    1.98    0.00   14.85    0.00    0.00   78.22    0.00    0.00    0.00    4.95
04:18:14 PM    9    4.00    1.00   14.00    0.00    0.00   76.00    0.00    0.00    0.00    5.00
04:18:14 PM   10    8.08    0.00   14.14    0.00    1.01   73.74    0.00    0.00    0.00    3.03
04:18:14 PM   11    3.00    0.00   15.00    0.00    0.00   80.00    0.00    0.00    0.00    2.00
04:18:14 PM   12    1.02    4.08   14.29    0.00    0.00   75.51    0.00    0.00    0.00    5.10
04:18:14 PM   13    2.00    5.00   15.00    0.00    0.00   74.00    0.00    0.00    0.00    4.00
04:18:14 PM   14    1.98    0.00   15.84    0.00    0.00   78.22    0.00    0.00    0.00    3.96
04:18:14 PM   15   77.00    0.00    6.00    0.00    1.00   16.00    0.00    0.00    0.00    0.00

04:18:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:15 PM  all   10.11    0.25   14.41    0.00    0.56   71.62    0.00    0.00    0.00    3.06
04:18:15 PM    0    4.95    1.98   14.85    0.00    0.99   73.27    0.00    0.00    0.00    3.96
04:18:15 PM    1   17.82    0.00   13.86    0.00    0.00   64.36    0.00    0.00    0.00    3.96
04:18:15 PM    2    6.86    0.00   13.73    0.00    0.98   75.49    0.00    0.00    0.00    2.94
